img,price,descrption,category
"https://m.media-amazon.com/images/I/61xk4XNRktL._AC._SR360,460.jpg",$109.99,"
                    Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue
                ",Phones
"https://m.media-amazon.com/images/I/71Sbx9zQN3L._AC._SR360,460.jpg",$149.99,"
                    Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green
                ",Phones
"https://m.media-amazon.com/images/I/515zGEaozeL._AC._SR360,460.jpg",$149.98,"
                    Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black
                ",Phones
"https://m.media-amazon.com/images/I/71CxUvG46rL._AC._SR360,460.jpg",$49.88,"
                    Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue
                ",Phones
"https://m.media-amazon.com/images/I/71WcjsOVOmL._AC._SR360,460.jpg","$1,169.99","
                    Samsung Galaxy S24 Ultra Cell Phone, 512GB AI Smartphone, Unlocked Android, 200MP, 100x Zoom Cameras, Fast Processor, Long Battery Life, Edge-to-Edge Display, S Pen, US Version, 2024, Titanium Black
                ",Phones
"https://m.media-amazon.com/images/I/711mfMxPxXL._AC._SR360,460.jpg",$99.99,"
                    Gabb Phone 4 Pro The Safe Phone Built for Teens - No Social Media/Internet, GPS Tracking, Parental Controls, Talk & Text, Safe Messaging, Safe Video Calls, 30 Activation Fee
                ",Phones
"https://m.media-amazon.com/images/I/61LE9-6KxdL._AC._SR360,460.jpg",$249.99,"
                    Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte
                ",Phones
"https://m.media-amazon.com/images/I/61O66kJiiGL._AC._SR360,460.jpg",$209.99,"
                    Motorola Moto G Stylus 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Cosmic Black, 162.83x73.77x9.29
                ",Phones
"https://m.media-amazon.com/images/I/61c9OZyq2yL._AC._SR360,460.jpg",$199.99,"
                    Moto G Power 5G | 2024 | Unlocked | Made for US 8/128GB | 50MP Camera | Midnight Blue
                ",Phones
"https://m.media-amazon.com/images/I/61K1Fz5LxvL._AC._SR360,460.jpg",$99.99,"
                    Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue
                ",Phones
